"","value","label","reps","PSE_Difference","JND_Difference","nSubjects"
"1",1,"Accuracy GLMM",25,0.1,0.2,10
"2",0.215,"Precision GLMM",25,0.1,0.2,10
"3",0.63,"Accuracy Two-Level",25,0.1,0.2,10
"4",0.075,"Precision Two-Level",25,0.1,0.2,10
"5",1,"Accuracy GLMM",25,0.1,0.2,12
"6",0.235,"Precision GLMM",25,0.1,0.2,12
"7",0.71,"Accuracy Two-Level",25,0.1,0.2,12
"8",0.065,"Precision Two-Level",25,0.1,0.2,12
"9",1,"Accuracy GLMM",25,0.1,0.2,14
"10",0.345,"Precision GLMM",25,0.1,0.2,14
"11",0.685,"Accuracy Two-Level",25,0.1,0.2,14
"12",0.1,"Precision Two-Level",25,0.1,0.2,14
"13",1,"Accuracy GLMM",25,0.1,0.2,16
"14",0.395,"Precision GLMM",25,0.1,0.2,16
"15",0.655,"Accuracy Two-Level",25,0.1,0.2,16
"16",0.105,"Precision Two-Level",25,0.1,0.2,16
"17",1,"Accuracy GLMM",25,0.1,0.2,18
"18",0.405,"Precision GLMM",25,0.1,0.2,18
"19",0.625,"Accuracy Two-Level",25,0.1,0.2,18
"20",0.06,"Precision Two-Level",25,0.1,0.2,18
"21",1,"Accuracy GLMM",25,0.1,0.2,20
"22",0.46,"Precision GLMM",25,0.1,0.2,20
"23",0.63,"Accuracy Two-Level",25,0.1,0.2,20
"24",0.09,"Precision Two-Level",25,0.1,0.2,20
