"","value","label","reps","PSE_Difference","JND_Difference","nSubjects"
"1",1,"Accuracy GLMM",55,-0.05,-0.05,10
"2",0.14,"Precision GLMM",55,-0.05,-0.05,10
"3",0.145,"Accuracy Two-Level",55,-0.05,-0.05,10
"4",0.035,"Precision Two-Level",55,-0.05,-0.05,10
"5",1,"Accuracy GLMM",55,-0.05,-0.05,12
"6",0.16,"Precision GLMM",55,-0.05,-0.05,12
"7",0.21,"Accuracy Two-Level",55,-0.05,-0.05,12
"8",0.06,"Precision Two-Level",55,-0.05,-0.05,12
"9",1,"Accuracy GLMM",55,-0.05,-0.05,14
"10",0.195,"Precision GLMM",55,-0.05,-0.05,14
"11",0.36,"Accuracy Two-Level",55,-0.05,-0.05,14
"12",0.095,"Precision Two-Level",55,-0.05,-0.05,14
"13",1,"Accuracy GLMM",55,-0.05,-0.05,16
"14",0.18,"Precision GLMM",55,-0.05,-0.05,16
"15",0.53,"Accuracy Two-Level",55,-0.05,-0.05,16
"16",0.065,"Precision Two-Level",55,-0.05,-0.05,16
"17",1,"Accuracy GLMM",55,-0.05,-0.05,18
"18",0.195,"Precision GLMM",55,-0.05,-0.05,18
"19",0.565,"Accuracy Two-Level",55,-0.05,-0.05,18
"20",0.07,"Precision Two-Level",55,-0.05,-0.05,18
"21",1,"Accuracy GLMM",55,-0.05,-0.05,20
"22",0.23,"Precision GLMM",55,-0.05,-0.05,20
"23",0.725,"Accuracy Two-Level",55,-0.05,-0.05,20
"24",0.06,"Precision Two-Level",55,-0.05,-0.05,20
