"","value","label","reps","PSE_Difference","JND_Difference","nSubjects"
"1",1,"Accuracy GLMM",55,-0.1,0.3,10
"2",0.14,"Precision GLMM",55,-0.1,0.3,10
"3",0.9,"Accuracy Two-Level",55,-0.1,0.3,10
"4",0.465,"Precision Two-Level",55,-0.1,0.3,10
"5",1,"Accuracy GLMM",55,-0.1,0.3,12
"6",0.165,"Precision GLMM",55,-0.1,0.3,12
"7",0.945,"Accuracy Two-Level",55,-0.1,0.3,12
"8",0.535,"Precision Two-Level",55,-0.1,0.3,12
"9",1,"Accuracy GLMM",55,-0.1,0.3,14
"10",0.155,"Precision GLMM",55,-0.1,0.3,14
"11",0.97,"Accuracy Two-Level",55,-0.1,0.3,14
"12",0.61,"Precision Two-Level",55,-0.1,0.3,14
"13",1,"Accuracy GLMM",55,-0.1,0.3,16
"14",0.125,"Precision GLMM",55,-0.1,0.3,16
"15",0.98,"Accuracy Two-Level",55,-0.1,0.3,16
"16",0.625,"Precision Two-Level",55,-0.1,0.3,16
"17",1,"Accuracy GLMM",55,-0.1,0.3,18
"18",0.135,"Precision GLMM",55,-0.1,0.3,18
"19",0.985,"Accuracy Two-Level",55,-0.1,0.3,18
"20",0.695,"Precision Two-Level",55,-0.1,0.3,18
"21",1,"Accuracy GLMM",55,-0.1,0.3,20
"22",0.17,"Precision GLMM",55,-0.1,0.3,20
"23",0.98,"Accuracy Two-Level",55,-0.1,0.3,20
"24",0.765,"Precision Two-Level",55,-0.1,0.3,20
